item_name,price,rated_count,old_price,rated,discount %
Ladies Rubber Strap Wristwatch,"₦ 4,070",39,"₦ 8,000",4.1,49%
Lookworld Beautifully Crested Non Fading Ladies Silver Wristwatch Set For Queens,"₦ 35,950",7,"₦ 42,000",4.7,14%
ELECTRONIC DIGITAL SPORT WRISTWATCH WITH NIGHT LIGHT,"₦ 3,999",,"₦ 5,000",,20%
Chronograph Ever Lasting  Sophisticated Chain Wristwatch + Classic Men Armlet,"₦ 32,753",2,"₦ 40,000",3,18%
TEMEITE Unleash The Beast Rugged Amor /Big Size Golden Watch For Strong Men + Rugged Bracelet For Boss Men,"₦ 33,854",5,"₦ 50,000",4.4,32%
Digital Led Silicone Wristwatch For Teens And Kids,"₦ 2,000",2,"₦ 6,000",3,67%
UNIQUE UNISEX QUARTZ SPORT WRISTWATCH,"₦ 3,999",,"₦ 5,000",,20%
Business Mens Wristwatch With Leather Bracelets Black,"₦ 9,757",5,"₦ 15,891",4,39%
VERY ICY! ICE-BOX Studded Chain Watch + Sophisticated ICY Armlet For Boss,"₦ 27,800",10,"₦ 50,000",4,44%
Crystal Alloy Quartz Watch Ladies Bracelace Watches -Gold,"₦ 4,315",143,"₦ 5,846",4.2,26%
"Lookworld Luxurious Design Classy Collection Of Solid WristWatch + Iced Necklace,Rings & Bracelet For Unisex","₦ 32,999",,"₦ 40,000",,18%
TEMEITE Super Jagged & Craggy Best Selling Luxury Big WristWatch For Rugged Men + Rugged Bracelet,"₦ 35,900",4,"₦ 50,050",4.3,28%
Keep Moving Superior Quality & Very Classy Non Fading Rose Gold Wristwatch/Cufflinks/Pen,"₦ 45,555",1,"₦ 559,000",5,92%
Forecast Quality Classy Non Fading/Non Rusting Gold/Silver Wristwatch For Couple,"₦ 27,525",4,"₦ 40,000",4.8,31%
Classic  FASHION  DIGITAL MENS WRISTWATCH WATERPROOF SPORT WATCH,"₦ 4,162",9,"₦ 10,000",4.6,58%
Skmei Best Selling Quality Superior Digital Gold Wristwatch,"₦ 28,500",,"₦ 30,000",,5%
UNISEX DIGITAL LED SCREEN ELECTRONIC FASHION WRISTWATCH,"₦ 2,500",3,"₦ 4,000",3,38%
SPORT UNISEX MULTI FUNCTIONAL DIGITAL SPORT WRISTWATCH WITH NIGHT LIGHT,"₦ 4,999",4,"₦ 5,000",4.5,1%
Longchain Quality Sophisticated Diamond Iced Out Silver Steel Necklace &  Pendant,"₦ 160,000",,"₦ 200,000",,20%
Keep Moving Very Original & Gorgeous Non Fading Ladies Complete Gold Wristwatch Set For Her,"₦ 35,999",2,"₦ 41,900",5,14%
TEMEITE Never Fading/Sophisticated/Rugged Gold Wristwatch For King Of Boys/Money Makers,"₦ 36,550",1,"₦ 40,500",5,10%
CLASSIC DIGITAL LED BOYS AND GIRLS WRISTWATCH,"₦ 3,500",6,"₦ 4,000",4.5,13%
Ultra 1:1 49mm Case Smartwatch Fitness NFC Smart Watch Heart Rate S9 Ultra,"₦ 28,499",5,"₦ 56,158",3.8,49%
Lookworld Men Casual Brown Date Function Sleek Leather Wristwatch- LKW Series,"₦ 9,711",11,"₦ 119,700",4.5,92%
Joefox Original Quality Digital/Analog Joefox Gold Wristwatch + Wristwatch For MoneyMen,"₦ 32,621",2,"₦ 350,900",4.5,91%
Lookworld Ladies Luxury  Executive Top Notch Watch,"₦ 18,350",11,"₦ 30,000",4.4,39%
Lookworld Superior Quality & Rugged Couple's Silver & Gold Wristwatch + Matching Bracelets For Him & Her,"₦ 45,500",7,"₦ 56,500",4.6,19%
Dubai Quality & Rugged Super Sparkling Silver Wristwatch + 2 Bracelets,"₦ 27,524",13,"₦ 286,500",4.2,90%
Lookworld Breathable Leather Watch - Black,"₦ 9,300",2,,5,
Wrist Smart Watch Bands Bracelet Strap-White,"₦ 5,354",52,"₦ 6,425",3.2,17%
Smart   Watch  Men Women Blood Pressure Waterproof  Fitness,"₦ 5,582",73,"₦ 6,698",3.2,17%
Superior Quality & Super Classy Complete Set Of Gold Wristwatch/Necklace/Bracelet/Earring/Ring,"₦ 25,964",14,"₦ 30,000",4.6,13%
Forecast High-Class Non Fading/Non Rusting Quality  Brown Leather Wristwatch,"₦ 16,973",9,"₦ 30,000",4.4,43%
Keep Moving First Class & Powerful Non Fading Gold Wristwatch + Fiery Dragon Bracelet,"₦ 27,112",2,"₦ 289,999",3,91%
Keep Moving Outstanding Sophisticated Diamond Iced Gold Designer Chain Wristwatch + Bracelet,"₦ 26,332",2,"₦ 50,000",1.5,47%
UNISEX DIGITAL LED ELECTRONIC FASHION WRISTWATCH,"₦ 4,500",14,"₦ 9,000",3.9,50%
Curren 8324 Man Quartz Sport Watch Brand Fashion Casual Male,"₦ 25,400",72,"₦ 50,800",4.5,50%
Pin Time Super Rugged Quality Sophisticated Iced Studded WristWatch For Mens +Stone Studded Bracelet,"₦ 29,650",2,"₦ 30,000",5,1%
COUPLE SILVER NON TARNISH QUARTZ WRISTWATCH,"₦ 6,474",3,"₦ 10,000",2.3,35%
Blazzing & Top-Notch Big Size Men Wrist Watch+ Rugged Bracelet For Rugged Men,"₦ 36,608",3,"₦ 40,000",5,8%
Lookworld Special Non Rusting Silver Wristwatch For Couple,"₦ 25,689",3,"₦ 50,000",5,49%
Highly Rugged & Sophisticated Quality Silver Wristwatch For Powerful Men,"₦ 35,782",,"₦ 433,500",,92%
"Top Brand Sophisticated Solid Iced Crested Chain Wrist Watch + Rugged Necklace,Ring & Bracelet","₦ 26,791",1,"₦ 30,000",3,11%
