name,price,old_price,rating,shipped
NEW Casual Shoulder Sports Sling Chest Bag Crossbody-Gray,"₦ 3,008","₦ 4,207",29%,
4 Piece Multifunctional Shoulder Bag - Black,"₦ 9,509","₦ 16,463",42%,
2 In 1 Women Handbag Ladies Tote Bags,"₦ 15,059","₦ 25,955",42%,
Woman Square Solid Tassel Large Messenger Handbag - Black,"₦ 16,149","₦ 22,000",27%,
4PCS 60*43*35CM 90L Foldable Clothes Storage Bag Organizer,"₦ 14,960","₦ 29,920",50%,
Laptop Sleeve Case 15.6 Inches Shoulder Messenger Bag,"₦ 9,690","₦ 15,755",38%,
Classic Macbook Pu Leather Bag/Business Briefcase/Office Bag,"₦ 24,697","₦ 33,400",26%,
Women's Shoulder Bag Shopping Bag Canvas Bag,"₦ 4,440","₦ 5,000",11%,
Ladies Canvas Tote Bag Cotton Shopping Bags,"₦ 3,053","₦ 8,800",65%,
Picnic Lunch Bags For Gender,"₦ 13,999",,,
Foldable Washable Laundry Bag. 1Pc,"₦ 8,500",,,
Ladies Comfortable Polyester Casual Backpack Bag - Beige,"₦ 20,999",,,
Baby Diaper Multifunction Bag With Pockets For TraveL,"₦ 20,700",,,
Foldable Washable Laundry Bag - Royal Blue With Flowers,"₦ 5,999",,,
"Unisex School Bag Bookbag For Students, Backpack","₦ 12,900","₦ 28,000",54%,
Unique Spiderman Unisex Lunch Bag With Carrier Handles,"₦ 9,500","₦ 10,500",10%,
Waterproof  Unisex Smart USB Laptop School Bag Backpack,"₦ 22,950",,,
Slim Laptop Messenger Shoulder Pouch Sleeve Case Bag 13 Inches (Black),"₦ 18,500","₦ 20,500",10%,
Luxury PU Leather Large Capacity Briefcase Bag/Laptop Bag,"₦ 27,800","₦ 31,000",10%,
Cosmetic Storage Bag Travel Bag Make Up Organizer,"₦ 6,844","₦ 10,900",37%,
Unisex Waist Bag,"₦ 5,999",,,
"Baby Diaper  Bag With Convertible Foldable Baby Bed With Pockets For Travel,","₦ 20,800",,,
Leather 15 Inches Laptop Bag For Men  Briefcase Handbag Black,"₦ 38,300","₦ 45,000",15%,
Sofa Holder,"₦ 4,999","₦ 7,999",38%,
Piroes Quality Tapeter Lunch Bag For Children And Adults (Red),"₦ 12,000","₦ 15,000",20%,
(large)Shoulder Bag Men Leather Casual Multifunctional Vertical Casual Messenger Bag Male Trendy Th,"₦ 111,151","₦ 138,939",20%,Shipped from abroad
Waterproof Phone Pouch - Universal Case For All Smartphones.,"₦ 7,800","₦ 9,500",18%,
Large Capacity Foldable Travel Storage Bag-3 Sizes,"₦ 22,920",,,
"High Quality Anti Theft Office, Laptop, School Backpack Bag With USB Charging Port","₦ 22,950",,,
"High Quality Anti Theft Office, Laptop, School Backpack Bag With USB Charging Port","₦ 22,950",,,
Ladies Comfortable Polyester Casual Backpack Bag - Red,"₦ 24,900",,,
Executive Brown Laptop Bag,"₦ 33,250","₦ 45,000",26%,
Laundry Basket D Large Hamper Foldable Bag For Dirty Clothes,"₦ 10,000",,,
Baby Diaper  Bag With Convertible Foldable Baby Bed With Pockets For Travel,"₦ 21,500",,,
Large Capacity Foldable Travel Duffel Bag Lightweight,"₦ 18,000","₦ 28,000",36%,
Women Tote 2pcs Fashion PU Metal Chain Handbag - Brown,"₦ 11,875","₦ 15,000",21%,
